policy_id,customer_id,policy_type,coverage_amount,monthly_premium,start_date,status
PC00001-01,C00001,Investment,3532125,6624.53,2022-03-24,Active
PC00001-02,C00001,Accident,4303703,7739.93,2021-11-01,Active
PC00002-01,C00002,Investment,3861698,4043.61,2022-09-27,Active
PC00002-02,C00002,Investment,1578712,1276.03,2018-03-23,Active
PC00003-01,C00003,Health,2622829,1596.46,2020-12-27,Active
PC00003-02,C00003,Life,689866,398.5,2022-05-30,Active
PC00003-03,C00003,Investment,1385186,749.44,2022-04-16,Active
PC00004-01,C00004,Health,1004624,1476.7,2018-03-17,Active
PC00005-01,C00005,Investment,2295057,1255.45,2019-05-02,Active
PC00005-02,C00005,Investment,3593227,2709.79,2019-08-05,Active
PC00005-03,C00005,Life,3944099,6068.99,2022-04-26,Active
PC00006-01,C00006,Health,2501109,2240.41,2021-02-08,Active
PC00006-02,C00006,Accident,636061,951.03,2021-12-02,Active
PC00007-01,C00007,Health,3173999,3925.33,2022-07-06,Active
PC00007-02,C00007,Investment,3946792,6461.33,2018-11-09,Active
PC00008-01,C00008,Life,3540855,6665.2,2021-11-06,Active
PC00009-01,C00009,Health,1554239,1520.2,2018-09-08,Active
PC00009-02,C00009,Investment,1817655,1753.1,2019-05-09,Active
PC00009-03,C00009,Life,4066081,6005.25,2021-07-08,Active
PC00010-01,C00010,Health,316078,347.19,2020-09-02,Active
PC00010-02,C00010,Accident,4033839,3682.99,2020-03-22,Active
PC00010-03,C00010,Health,3750111,1954.64,2018-04-08,Active
PC00011-01,C00011,Accident,1829714,2071.63,2021-02-03,Active
PC00011-02,C00011,Health,4425009,7123.72,2020-10-24,Active
PC00011-03,C00011,Accident,920317,880.62,2022-09-07,Active
PC00012-01,C00012,Accident,757345,1073.7,2022-11-09,Active
PC00013-01,C00013,Accident,4407815,6351.8,2018-05-28,Active
PC00013-02,C00013,Health,3692664,7295.45,2020-04-20,Active
PC00014-01,C00014,Life,2756676,2601.28,2022-09-07,Active
PC00015-01,C00015,Investment,4532174,3892.46,2020-02-09,Active
PC00015-02,C00015,Life,4097379,4030.91,2019-06-09,Active
PC00016-01,C00016,Health,4913387,2657.38,2018-09-06,Active
PC00017-01,C00017,Investment,4820975,6826.71,2021-05-13,Active
PC00017-02,C00017,Accident,2558057,3218.93,2022-05-19,Active
PC00017-03,C00017,Investment,4382642,8423.33,2021-12-25,Active
PC00018-01,C00018,Investment,2413573,3000.39,2020-02-17,Active
PC00018-02,C00018,Investment,3730041,5362.96,2018-04-12,Active
PC00018-03,C00018,Accident,3940240,2625.9,2018-11-04,Active
PC00019-01,C00019,Investment,2965619,5560.86,2020-08-03,Active
PC00019-02,C00019,Accident,2685268,3663.88,2021-07-06,Active
PC00019-03,C00019,Investment,1705066,1438.07,2020-03-10,Active
PC00020-01,C00020,Accident,4288853,3306.36,2018-11-23,Active
PC00020-02,C00020,Accident,3374990,2293.09,2019-10-08,Active
PC00020-03,C00020,Life,589725,400.65,2021-01-06,Active
PC00021-01,C00021,Health,1129681,1718.03,2019-03-11,Lapsed
PC00021-02,C00021,Investment,2791095,2779.39,2022-02-07,Active
